nflId,height,weight,birthDate,collegeName,position,displayName
2539334,72,190,9/10/1990,Washington,CB,Desmond Trufant
2539653,70,186,11/1/1988,Southeastern Louisiana,CB,Robert Alford
2543850,69,186,12/18/1991,Purdue,SS,Ricardo Allen
2555162,73,227,11/4/1994,Louisiana State,MLB,Deion Jones
2555255,75,232,7/1/1993,Minnesota,OLB,De'Vondre Campbell
2555543,73,216,7/26/1995,Florida,FS,Keanu Neal
2556445,70,211,10/20/1992,Florida,CB,Brian Poole
2507763,72,200,8/1/1986,Mississippi,WR,Mike Wallace
2532842,78,243,1/20/1989,Arizona,QB,Nick Foles
2540158,77,250,11/10/1990,Stanford,TE,Zach Ertz
2552582,72,223,6/15/1993,Boise State,RB,Jay Ajayi
2552600,72,198,5/24/1993,Southern California,WR,Nelson Agholor
2553502,68,190,4/10/1993,Sacramento State,WR,DeAndre Carter
2552301,75,246,7/8/1992,Clemson,DE,Vic Beasley
2506467,66,190,6/20/1983,Kansas State,RB,Darren Sproles
2557967,73,230,8/9/1994,Louisiana State,OLB,Duke Riley
2558184,71,190,6/5/1993,San Diego State,SS,Damontae Kazee
2560995,77,256,1/3/1995,South Dakota State,TE,Dallas Goedert
2559150,70,220,11/2/1994,Wisconsin,RB,Corey Clement
310,76,217,5/17/1985,Boston College,QB,Matt Ryan
2495454,75,220,2/8/1989,Alabama,WR,Julio Jones
2507828,77,268,2/26/1987,UCLA,TE,Logan Paulsen
2552453,73,210,4/16/1993,Indiana,RB,Tevin Coleman
2555415,76,254,10/29/1994,Stanford,TE,Austin Hooper
2558023,77,253,5/1/1994,Drake,TE,Eric Saubert
79848,72,204,12/20/1987,Ohio State,SS,Malcolm Jenkins
2534832,70,195,6/23/1990,Virginia,FS,Rodney McLeod
2552315,73,236,6/27/1992,Texas,MLB,Jordan Hicks
2552689,71,193,1/2/1994,Florida State,CB,Ronald Darby
2555383,72,191,4/6/1994,Louisiana State,CB,Jalen Mills
2556363,74,230,5/16/1994,Eastern Illinois,OLB,Kamu Grugier-Hill
2558175,74,230,2/23/1995,Nebraska,LB,Nate Gerry
2543583,68,206,3/15/1992,Florida State,RB,Devonta Freeman
2552418,70,192,12/18/1991,East Carolina,WR,Justin Hardy
2557034,70,190,4/10/1993,Washington,WR,Marvin Hall
2560854,73,190,12/20/1994,Alabama,WR,Calvin Ridley
2557958,72,181,5/21/1996,Washington,CB,Sidney Jones
2533040,74,215,8/22/1989,Rutgers,WR,Mohamed Sanu
2495613,72,196,7/25/1985,New Hampshire,FS,Corey Graham
2561132,74,215,8/2/1995,Yale,LB,Foye Oluokun
2558258,71,191,3/20/1995,West Virginia,WR,Shelton Gibson
2559033,72,233,4/15/1994,Oregon State,FB,Ricky Ortiz
2559109,74,205,7/12/1994,Kansas State,CB,Deante Burton
2539291,71,185,2/7/1991,Oregon State,WR,Markus Wheaton
2558168,74,209,8/29/1995,West Virginia,CB,Rasul Douglas
2555461,70,208,1/20/1994,West Virginia,RB,Wendell Smallwood
79607,71,210,7/12/1988,Pittsburgh,RB,LeSean McCoy
2495139,75,246,2/13/1989,Tulsa,TE,Charles Clay
2495189,69,188,11/8/1988,Texas Christian,WR,Jeremy Kerley
2543471,77,245,2/5/1991,Florida State,WR,Kelvin Benjamin
2557863,74,200,3/30/1995,East Carolina,WR,Zay Jones
2558191,74,225,5/4/1994,Pittsburgh,QB,Nathan Peterman
4365,72,210,5/19/1986,Grand Valley State,CB,Brandon Carr
2495775,71,195,1/4/1985,Utah,FS,Eric Weddle
2540164,71,211,1/27/1992,Oklahoma,SS,Tony Jefferson
2543464,74,250,6/19/1992,Alabama,ILB,C.J. Mosley
2552279,76,272,9/8/1992,Kentucky,OLB,Za'Darius Smith
2555378,69,185,3/14/1994,Temple,CB,Tavon Young
2555505,75,261,8/15/1992,Grand Valley State,OLB,Matt Judon
2558067,72,197,7/8/1996,Alabama,CB,Marlon Humphrey
2506268,73,245,5/31/1983,California,OLB,Lorenzo Alexander
2539240,72,197,12/31/1990,Iowa,SS,Micah Hyde
2539290,72,191,4/25/1991,Oregon State,FS,Jordan Poyer
2543851,72,193,4/4/1991,Rice,CB,Phillip Gaines
2557867,71,192,1/16/1995,Louisiana State,CB,Tre'Davious White
2557969,72,223,7/28/1994,Boston College,OLB,Matt Milano
2560713,77,250,5/2/1998,Virginia Tech,LB,Tremaine Edmunds
382,78,245,1/16/1985,Delaware,QB,Joe Flacco
71269,73,215,9/14/1987,Texas Tech,WR,Michael Crabtree
2543847,71,179,4/3/1990,Pittsburg State,WR,John Brown
2552402,76,270,2/17/1993,Delaware,TE,Nick Boyle
2552468,76,252,4/12/1994,Minnesota,TE,Maxx Williams
2555430,70,208,8/26/1994,Arkansas,RB,Alex Collins
2560766,71,192,7/27/1996,Weber State,CB,Taron Johnson
2550256,71,205,10/17/1992,Ball State,WR,Willie Snead
2552631,72,218,8/27/1991,Southern California,RB,Javorius Allen
2560729,74,196,5/7/1994,Alabama,WR,Robert Foster
2505660,75,265,10/11/1982,Arizona State,OLB,Terrell Suggs
2558990,75,311,5/27/1994,Maine,FB,Patrick Ricard
2508004,71,207,3/27/1987,Tennessee State,DB,Anthony Levine
2555209,73,200,6/16/1993,Cincinnati,WR,Chris Moore
2495453,76,210,6/16/1988,Hillsdale,WR,Andre Holmes
2543767,78,250,7/1/1991,Virginia Tech,TE,Logan Thomas
2559159,77,246,2/28/1994,Tennessee,TE,Jason Croom
2556642,72,227,8/22/1992,Portland State,ILB,Patrick Onwuasor
2558248,72,205,4/19/1995,Virginia Tech,FS,Chuck Clark
2507817,71,205,5/12/1987,South Carolina State,SS,Rafael Bush
2557841,75,244,11/12/1993,Alabama,OLB,Tim Williams
2560947,73,235,11/15/1994,UCLA,LB,Kenny Young
2552647,69,195,10/3/1991,Missouri,RB,Marcus Murphy
2558166,75,240,5/23/1995,Houston,OLB,Tyus Bowser
2560957,77,255,9/6/1995,Oklahoma,TE,Mark Andrews
2507999,72,223,3/22/1988,Tiffin University,RB,Chris Ivory
2560955,77,237,5/21/1996,Wyoming,QB,Josh Allen
2555229,70,228,1/21/1994,Louisiana Tech,RB,Kenneth Dixon
2560757,74,212,1/7/1997,Louisville,QB,Lamar Jackson
2561485,70,173,11/20/1993,Rutgers,WR,Janarion Grant
2560963,71,178,11/30/1994,Alabama,CB,Anthony Averett
2555178,73,193,5/26/1994,Virginia,CB,Maurice Canady
2561301,74,230,7/23/1995,North Dakota State,LB,Chris Board
2506109,77,240,3/2/1982,"Miami, O.",QB,Ben Roethlisberger
2508061,70,185,7/10/1988,Central Michigan,WR,Antonio Brown
2540151,76,203,5/20/1991,Tennessee,WR,Justin Hunter
2552633,79,250,6/4/1994,Penn State,TE,Jesse James
2557978,73,233,5/5/1995,Pittsburgh,RB,James Conner
2558149,73,215,11/22/1996,Southern California,WR,JuJu Smith-Schuster
2539311,75,255,10/20/1989,Southern Mississippi,OLB,Jamie Collins
2543637,71,190,5/17/1992,Oregon,CB,Terrance Mitchell
2552389,71,196,8/29/1992,Arizona State,CB,Damarious Randall
2555166,73,245,11/6/1993,Wisconsin,MLB,Joe Schobert
2555540,70,210,12/15/1993,Texas Christian,SS,Derrick Kindred
2556475,69,193,1/21/1993,Minnesota,CB,Briean Boddy-Calhoun
2560916,71,191,4/28/1997,Ohio State,CB,Denzel Ward
2560920,71,213,4/2/1996,Oklahoma State,WR,James Washington
2560964,72,250,4/26/1995,Memphis,LB,Genard Avery
496727,73,210,1/13/1989,Georgia Tech,SS,Morgan Burnett
496733,71,195,4/14/1989,Florida,CB,Joe Haden
2539978,73,245,5/5/1991,Florida,ILB,Jon Bostic
2540221,73,233,12/27/1989,Florida State,ILB,Vince Williams
2552289,76,269,2/12/1993,Kentucky,OLB,Bud Dupree
2555344,72,197,5/1/1995,Miami,CB,Artie Burns
2555386,73,202,10/23/1993,Maryland,SS,Sean Davis
2556559,69,184,3/9/1994,Mississippi,CB,Mike Hilton
2558064,76,252,10/11/1994,Wisconsin,OLB,T.J. Watt
2495240,73,215,8/3/1989,Virginia Tech,QB,Tyrod Taylor
2537931,75,225,4/13/1991,Utah,WR,Josh Gordon
2540928,79,270,4/22/1986,California-Irvine,TE,Darren Fells
2543488,71,196,11/28/1992,Louisiana State,WR,Jarvis Landry
2543743,72,229,9/20/1990,Ohio State,RB,Carlos Hyde
2557986,76,246,7/10/1996,Miami,TE,David Njoku
2552461,69,210,9/23/1993,Miami,RB,Duke Johnson
2555468,73,198,10/7/1994,Colorado State,WR,Rashard Higgins
2560712,73,217,1/20/1997,Virginia Tech,S,Terrell Edmunds
2550235,71,248,3/30/1992,Kent State,FB,Roosevelt Nix
2550521,76,261,9/22/1992,Southern California,TE,Xavier Grimble
2543720,74,235,8/31/1992,Iowa,OLB,Christian Kirksey
2557980,71,213,10/4/1995,Michigan,FS,Jabrill Peppers
2560988,71,200,1/9/1997,Florida,WR,Antonio Callaway
2552266,75,255,12/10/1992,Miami,OLB,Anthony Chickillo
2561021,71,225,12/27/1995,Georgia,RB,Nick Chubb
2557960,68,185,11/4/1994,North Carolina,WR,Ryan Switzer
2558849,71,188,2/27/1995,Tennessee,CB,Cameron Sutton
2556365,75,245,1/29/1993,Princeton,TE,Seth DeValve
2550164,72,204,7/28/1990,Ohio,CB,T.J. Carrie
2561470,76,207,10/17/1994,Texas Tech,WR,Derrick Willies
2533060,74,190,10/26/1989,Alabama,CB,Dre Kirkpatrick
2543814,73,255,10/27/1992,Louisville,MLB,Preston Brown
2555355,72,205,6/2/1993,Illinois,FS,Clayton Fejedelem
2555528,74,235,8/20/1993,Utah State,OLB,Nick Vigil
2556367,72,196,10/27/1992,Houston,CB,William Jackson
2558801,75,242,1/27/1995,Oklahoma,OLB,Jordan Evans
2560970,73,200,2/26/1997,Wake Forest,S,Jessie Bates
2532865,70,183,11/14/1989,Florida International,WR,T.Y. Hilton
2533031,76,240,9/12/1989,Stanford,QB,Andrew Luck
2540232,78,262,5/5/1990,Western Kentucky,TE,Jack Doyle
2543466,76,253,4/10/1993,North Carolina,TE,Eric Ebron
2543759,72,194,12/19/1990,Tulane,WR,Ryan Grant
2560933,73,217,7/18/1994,Mississippi,RB,Jordan Wilkins
2543474,71,205,10/10/1991,Michigan State,CB,Darqueze Dennard
2556396,72,184,1/12/1994,Grambling State,WR,Chester Rogers
2558877,74,214,12/18/1994,Old Dominion,WR,Zach Pascal
2560742,69,198,11/12/1996,North Carolina State,RB,Nyheim Hines
2495143,74,220,10/29/1987,Texas Christian,QB,Andy Dalton
2495450,76,210,7/31/1988,Georgia,WR,A.J. Green
2540148,78,255,9/8/1990,Notre Dame,TE,Tyler Eifert
2540156,69,205,11/22/1991,North Carolina,HB,Giovani Bernard
2555466,74,203,11/15/1994,Pittsburgh,WR,Tyler Boyd
2558010,71,194,11/27/1995,Washington,WR,John Ross
2552386,74,216,6/1/1992,Central Florida,FS,Clayton Geathers
2556429,71,209,7/15/1992,Notre Dame,SS,Matthias Farley
2557961,74,193,8/16/1996,Florida,CB,Quincy Wilson
2558108,72,185,6/30/1994,Temple,CB,Nate Hairston
2558851,73,230,8/8/1995,Northwestern,ILB,Anthony Walker
2558976,69,190,8/23/1995,Valdosta State,CB,Kenny Moore II
2560789,74,230,7/27/1995,South Carolina State,LB,Darius Leonard
2552586,78,250,10/15/1992,Rutgers,TE,Tyler Kroft
2550405,76,255,5/8/1992,Miami,TE,Erik Swoope
2552559,78,260,1/14/1993,Auburn,TE,C.J. Uzomah
2557976,73,220,7/24/1996,Oklahoma,HB,Joe Mixon
2558060,73,212,4/2/1996,Ohio State,FS,Malik Hooker
2560816,74,225,1/8/1995,South Carolina,ILB,Skai Moore
2539233,72,210,5/13/1991,Georgia,SS,Shawn Williams
2561155,72,236,7/2/1996,Syracuse,ILB,Zaire Franklin
2558982,72,235,1/5/1994,Illinois,MLB,Hardy Nickerson
2556493,71,228,10/24/1992,Texas A&M,RB,Tra Carson
2533016,72,244,6/4/1989,West Virginia,OLB,Najee Goode
2558127,75,205,3/21/1996,Tennessee,WR,Josh Malone
2556519,72,195,11/6/1992,Wisconsin,WR,Alex Erickson
2354,72,233,7/21/1986,Kentucky,ILB,Wesley Woodyard
71423,76,257,7/31/1986,Texas,OLB,Brian Orakpo
2539320,72,214,2/15/1991,Texas,SS,Kenny Vaccaro
2540162,71,195,2/9/1991,Rutgers,CB,Logan Ryan
2550613,71,190,3/2/1990,West Alabama,CB,Malcolm Butler
2555158,71,212,8/17/1993,Middle Tennessee,FS,Kevin Byard
2555320,74,242,7/8/1993,UCLA,OLB,Aaron Wallace
2558005,72,226,2/26/1995,UCLA,ILB,Jayon Brown
2558065,71,185,9/18/1995,Southern California,CB,Adoree' Jackson
2649,71,185,11/2/1985,Texas Tech,WR,Danny Amendola
2532956,76,207,7/27/1988,Texas A&M,QB,Ryan Tannehill
2540202,73,202,4/22/1992,Oklahoma,WR,Kenny Stills
2555230,73,211,1/26/1994,Alabama,RB,Kenyan Drake
2556190,67,169,10/30/1992,Texas Tech,WR,Jakeem Grant
2560994,78,252,10/3/1995,Penn State,TE,Mike Gesicki
2495469,68,195,9/27/1990,Pittsburgh,RB,Dion Lewis
2495966,74,248,8/12/1984,Central Missouri State,TE,Delanie Walker
2532903,72,217,10/12/1989,Nevada,WR,Rishard Matthews
2552466,76,222,10/30/1993,Oregon,QB,Marcus Mariota
2555317,74,194,12/23/1994,Massachusetts,WR,Tajae Sharpe
2557848,75,209,1/11/1995,Western Michigan,WR,Corey Davis
496739,73,215,2/25/1988,Georgia,SS,Reshad Jones
2539309,74,215,1/26/1991,USC,SS,T.J. McDonald
2539935,75,239,8/14/1990,Oregon,OLB,Kiko Alonso
2552434,71,192,8/18/1993,Memphis,CB,Bobby McCain
2555539,73,200,7/4/1993,Baylor,CB,Xavien Howard
2558070,74,242,11/17/1995,Ohio State,LB,Raekwon McMillan
2560725,73,207,11/17/1996,Alabama,S,Minkah Fitzpatrick
2555339,75,241,4/27/1994,Boise State,ILB,Kamalei Correa
2561328,76,250,10/1/1995,Temple,OLB,Sharif Finch
2552580,77,240,9/20/1991,Arkansas,TE,A.J. Derby
2550272,69,195,7/12/1992,Georgia State,WR,Albert Wilson
496828,76,261,1/6/1989,Georgia Tech,OLB,Derrick Morgan
2541539,71,225,11/27/1990,Auburn,ILB,Daren Bates
2555551,72,203,9/18/1993,Southern Utah,CB,LeShaun Sims
2506404,69,212,5/14/1983,Miami,RB,Frank Gore
2540013,73,235,9/19/1989,Nebraska,ILB,Will Compton
2560880,78,260,8/9/1995,Notre Dame,TE,Durham Smythe
2556075,75,247,1/4/1994,Alabama,RB,Derrick Henry
2558207,75,248,8/22/1995,Florida International,TE,Jonnu Smith
2495441,77,235,10/15/1989,Missouri,QB,Blaine Gabbert
2557870,71,205,3/2/1995,Western Kentucky,WR,Taywan Taylor
2495234,77,253,7/17/1988,Tennessee,TE,Luke Stocker
2560966,74,225,12/25/1996,Ohio State,LB,Jerome Baker
2559043,75,246,8/29/1993,Southern Illinois,OLB,Chase Allen
2553896,70,180,6/28/1992,Virginia,WR,Darius Jennings
2559053,71,188,4/10/1995,Nevada-Las Vegas,CB,Torry McTyer
496735,70,185,4/10/1988,Alabama,CB,Kareem Jackson
2495872,71,185,4/16/1984,South Carolina,CB,Johnathan Joseph
2533049,76,258,7/21/1990,Illinois,OLB,Whitney Mercilus
2540180,69,190,5/13/1992,Louisiana State,FS,Tyrann Mathieu
2543501,72,191,10/2/1991,Oklahoma,CB,Aaron Colvin
2552261,72,185,8/5/1992,Wake Forest,CB,Kevin Johnson
2558094,75,238,12/2/1994,Vanderbilt,ILB,Zach Cunningham
2560851,73,204,2/15/1997,Stanford,SS,Justin Reid
497240,78,265,5/14/1989,Arizona,TE,Rob Gronkowski
2504211,76,225,8/3/1977,Michigan,QB,Tom Brady
2530515,73,210,10/24/1987,"Monmouth, N.J.",WR,Chris Hogan
2539265,70,215,7/2/1990,Nebraska,RB,Rex Burkhead
2543773,70,205,2/3/1992,Wisconsin,RB,James White
2552424,70,192,1/5/1993,Miami,WR,Phillip Dorsett
2552490,76,257,11/19/1992,Mississippi State,ILB,Benardrick McKinney
2533046,76,260,2/24/1990,Clemson,TE,Dwayne Allen
2533034,70,221,4/25/1991,Miami,RB,Lamar Miller
2540165,73,212,6/6/1992,Clemson,WR,DeAndre Hopkins
2543646,69,200,8/22/1991,South Carolina,WR,Bruce Ellington
2558063,74,221,9/14/1995,Clemson,QB,Deshaun Watson
2560896,77,277,8/2/1996,Mississippi State,TE,Jordan Thomas
2561427,75,202,6/9/1996,Limestone,WR,Vyncint Smith
71251,71,215,8/19/1987,Oregon,SS,Patrick Chung
494287,70,195,8/13/1987,Rutgers,FS,Devin McCourty
2533057,75,260,3/12/1990,Alabama,MLB,Dont'a Hightower
2533062,73,202,9/19/1990,South Carolina,CB,Stephon Gilmore
2552255,73,205,10/3/1992,Utah,CB,Eric Rowe
2556119,72,238,4/22/1994,Houston,MLB,Elandon Roberts
2556571,70,190,9/20/1993,Auburn,CB,Jonathan Jones
2560951,76,243,4/19/1992,Central Florida,TE,Jordan Akins
2541243,73,205,1/24/1991,Rutgers,FS,Duron Harmon
2543699,75,250,3/26/1991,Brigham Young,OLB,Kyle Van Noy
2541316,78,255,1/11/1990,Connecticut,TE,Ryan Griffin
2561143,74,255,8/24/1996,Purdue,LB,Ja'Whaun Bentley
2559211,69,198,6/16/1993,Iowa,WR,Riley McCarron
2508101,75,255,7/23/1988,Brown,FB,James Develin
2543603,73,230,10/20/1992,LSU,RB,Jeremy Hill
2552470,73,210,3/31/1993,Auburn,WR,Sammie Coates
2559152,72,237,5/19/1994,Missouri State,ILB,Dylan Cole
2555234,70,185,10/7/1993,San Jose State,RB,Tyler Ervin
2540145,74,238,3/17/1991,Tennessee,WR,Cordarrelle Patterson
2543600,74,225,4/27/1991,LSU,RB,Alfred Blue
89756,71,195,8/13/1987,Rutgers,CB,Jason McCourty
2506581,74,228,11/24/1982,Harvard,QB,Ryan Fitzpatrick
2543468,77,231,8/21/1993,Texas A&M,WR,Mike Evans
2550656,77,245,7/3/1991,Harvard,TE,Cameron Brate
2556466,71,225,2/27/1994,Auburn,RB,Peyton Barber
2557856,78,250,11/18/1994,Alabama,TE,O.J. Howard
2558105,73,209,2/27/1996,Penn State,WR,Chris Godwin
494261,71,208,4/1/1988,Ohio State,SS,Kurt Coleman
2533008,74,248,1/11/1989,Arkansas State,ILB,Demario Davis
2555530,71,205,12/12/1994,Ohio State,FS,Vonn Bell
2556735,73,180,2/8/1993,Colorado,CB,Ken Crawley
2558061,72,192,5/20/1996,Ohio State,CB,Marshon Lattimore
2558163,75,240,9/22/1994,Florida,OLB,Alex Anzalone
2558847,73,195,9/8/1996,Utah,FS,Marcus Williams
2495471,66,205,2/6/1990,Oregon State,RB,Jacquizz Rodgers
2553895,71,195,6/24/1993,Clemson,WR,Adam Humphries
2508084,71,191,9/7/1987,Florida State,CB,Patrick Robinson
1581,70,175,12/1/1986,California,WR,DeSean Jackson
2495272,74,203,2/23/1989,California,SS,Chris Conte
2532828,73,233,1/23/1990,Nebraska,OLB,Lavonte David
2550565,72,230,9/21/1990,Florida Atlantic,MLB,Adarius Taylor
2552592,73,227,8/3/1994,Louisiana State,MLB,Kwon Alexander
2555299,70,204,6/3/1995,Florida,CB,Vernon Hargreaves III
2557945,72,199,8/26/1995,Texas A&M,SS,Justin Evans
2560884,71,205,9/16/1995,North Carolina,CB,M.J. Stewart
2504775,72,209,1/15/1979,Purdue,QB,Drew Brees
2539303,73,233,4/26/1990,Southern Methodist,FB,Zach Line
2541834,77,250,5/21/1990,Idaho State,TE,Josh Hill
2556370,75,212,3/3/1993,Ohio State,WR,Michael Thomas
2558019,70,215,7/25/1995,Tennessee,RB,Alvin Kamara
2560878,74,210,1/7/1996,Central Florida,WR,Tre'Quan Smith
2555552,71,190,9/7/1993,North Carolina Central,CB,Ryan Smith
2506122,75,255,12/18/1980,Georgia,TE,Benjamin Watson
2507166,71,180,4/12/1985,Ohio State,WR,Ted Ginn
2558928,73,195,12/25/1993,Northwestern,WR,Austin Carr
2561039,73,206,12/31/1996,Auburn,CB,Carlton Davis
2550223,72,195,9/7/1991,North Greenville,WR,Freddie Martino
2556508,73,235,7/2/1993,Memphis,TE,Alan Cross
2559044,78,256,5/28/1993,"Laval, Can.",TE,Antony Auclair
2539277,73,241,1/26/1991,Notre Dame,MLB,Manti Te'o
2539982,73,240,7/30/1991,Iowa State,OLB,A.J. Klein
2556752,67,168,10/24/1992,Northern Illinois,WR,Tommylee Lewis
2539663,71,210,11/1/1990,Florida,RB,Mike Gillislee
2555227,72,217,2/2/1994,Arkansas,RB,Jonathan Williams
2495211,73,242,8/9/1989,Nebraska,TE,Niles Paul
2543477,77,236,4/28/1992,Central Florida,QB,Blake Bortles
2543683,77,262,9/29/1992,Washington,TE,Austin Seferian-Jenkins
2553318,76,245,1/14/1992,Illinois State,TE,James O'Shaughnessy
2557973,72,228,1/18/1995,Louisiana State,RB,Leonard Fournette
2561018,76,198,9/23/1996,Louisiana State,WR,D.J. Chark
